Country,Year,GDP_growth,Inflation,Unemployment
China,2019,6.07,2.9,4.56
China,2020,2.34,2.42,5
China,2021,8.57,0.98,4.55
China,2022,3.13,1.97,4.98
China,2023,5.41,0.2,4.67
United States,2019,2.68,1.8,3.67
United States,2020,-2.9,1.2,8.06
United States,2021,6.41,4.7,5.35
United States,2022,3.4,8,3.65
United States,2023,2.95,4.1,3.64
Japan,2019,-0.4,0.47,2.35
Japan,2020,-4.17,-0.02,2.81
Japan,2021,2.7,-0.23,2.81
Japan,2022,0.94,2.5,2.61
Japan,2023,1.48,3.27,2.6
India,2019,3.78,3.73,6.51
India,2020,-5.78,6.62,7.86
India,2021,9.69,5.13,6.38
India,2022,7.61,6.7,4.82
India,2023,9.19,5.65,4.17
